Acute.Coronary.Syndrome;Aortic.Aneurysm;Aortic.Dissection;Arrhythmia;Cardiac.Arrest;Cardiogenic.Shock;Cerebrovascular.Accident;Covid.19;Diabetic.Ketoacidosis;Gastrointestinal.Bleed;Heart.Failure;Liver.Failure;Pneumonia;Pulmonary.Embolism;Renal.Failure;Respiratory.Failure;Sepsis;Subarachnoid.Hemorrhage;Subdural.Hematoma;week;week2;year;label;Y
 5;2;1;6;1;0; 5;0;2;3;6;3;2;0;1; 9;3;2;2;27;27;2019;Normal;1
 3;3;5;3;2;1; 1;0;1;1;3;3;2;0;0; 8;4;2;0;28;28;2019;Normal;2
 5;1;6;3;0;0;11;0;1;2;4;2;2;0;0; 5;4;1;4;29;29;2019;Normal;2
 6;2;4;3;1;2; 1;0;1;1;6;1;3;0;1; 2;3;3;2;30;30;2019;Normal;2
 7;2;1;6;1;0; 5;0;0;6;4;1;4;2;1; 6;5;3;1;31;31;2019;Normal;3
 5;2;2;3;0;0; 2;0;1;2;2;3;2;2;1; 3;3;1;2;32;32;2019;Normal;1
 6;1;0;3;1;0; 2;0;1;1;4;0;2;0;3; 4;1;1;1;33;33;2019;Normal;1
 8;3;1;3;1;1; 5;0;0;1;4;2;2;0;0; 3;4;1;2;34;34;2019;Normal;0
 4;4;2;1;1;1; 3;0;3;4;2;1;1;3;0; 2;3;0;1;35;35;2019;Normal;1
 4;2;3;2;2;2; 5;0;5;0;3;2;4;0;2; 5;4;4;0;36;36;2019;Normal;1
 3;2;2;5;1;0; 3;0;0;0;2;0;1;0;1; 6;6;2;1;37;37;2019;Normal;3
 7;0;3;3;1;0; 3;0;0;0;2;2;2;1;2; 2;6;0;1;38;38;2019;Normal;3
 8;0;2;5;1;0; 5;0;1;1;4;3;3;1;0; 6;4;0;0;39;39;2019;Normal;2
 3;2;1;2;1;2; 7;0;1;2;3;0;2;0;0; 4;5;0;0;40;40;2019;Normal;1
 2;0;1;2;2;0; 3;0;3;1;4;0;0;0;0; 9;3;1;0;41;41;2019;Normal;2
 6;0;1;4;1;0; 3;0;1;2;2;2;2;2;4; 1;6;2;1;42;42;2019;Normal;2
 9;3;1;3;1;1; 5;0;2;1;2;0;3;1;0; 4;4;2;0;43;43;2019;Normal;2
 3;1;2;4;3;0; 4;0;1;0;4;2;1;0;0; 6;6;0;0;44;44;2019;Normal;1
 4;0;1;1;3;0; 9;0;1;2;4;1;1;0;0; 2;2;6;0;45;45;2019;Normal;1
 7;0;0;2;0;0; 3;0;0;0;4;0;6;2;1; 4;7;1;0;46;46;2019;Normal;1
11;2;2;2;0;0; 3;0;3;3;5;1;2;0;0; 5;4;2;2;47;47;2019;Normal;3
 6;2;2;5;0;0; 2;0;1;3;0;0;2;0;0; 5;5;1;1;48;48;2019;Normal;0
 5;1;1;0;4;0; 3;0;1;1;3;0;1;0;1; 2;2;0;1;49;49;2019;Normal;1
 4;5;4;3;3;0;10;0;0;2;6;3;2;0;1; 5;6;1;4;50;50;2019;Normal;1
 4;1;4;4;2;0; 4;0;0;2;3;1;6;0;1; 3;8;2;1;51;51;2019;Normal;3
 5;2;1;3;0;1; 9;0;2;0;0;2;3;1;0; 6;3;1;0;52;52;2019;Normal;0
 5;2;1;4;1;0; 7;0;1;2;4;1;4;1;1; 4;5;2;1; 1;53;2020;Normal;1
 6;5;1;3;2;0; 1;0;0;3;4;3;2;0;0; 6;4;3;0; 2;54;2020;Normal;1
 8;3;4;0;0;0; 5;0;2;2;5;1;3;0;1; 4;5;2;2; 3;55;2020;Normal;2
 6;1;5;1;3;2; 4;0;0;2;2;1;0;0;0; 1;5;1;1; 4;56;2020;Normal;0
 2;2;0;2;1;0; 5;0;2;1;2;0;4;0;3; 2;1;0;0; 5;57;2020;Normal;2
 8;1;2;4;0;1; 1;0;1;2;5;4;3;0;1; 2;3;5;0; 6;58;2020;Normal;2
 4;2;4;3;1;0; 8;0;2;0;5;1;5;0;1; 7;2;4;3; 7;59;2020;Normal;3
 4;3;1;0;1;0; 6;0;0;0;4;0;3;1;1; 3;3;4;0; 8;60;2020;Normal;0
 6;3;1;2;3;0; 4;0;2;1;4;2;0;1;1; 6;4;3;1; 9;61;2020;Normal;1
 4;0;1;1;3;0; 5;0;1;0;6;3;2;2;1; 1;5;1;2;10;62;2020;Normal;0
 5;2;2;2;1;1; 9;3;1;2;4;4;1;1;1; 3;3;1;2;11;63;2020;Normal;1
 7;0;3;3;1;0; 3;1;0;0;2;1;2;1;1; 1;6;0;0;12;64;2020;Shelter-in-Place;0
 2;1;3;2;0;0; 1;4;1;3;4;2;4;0;1; 3;4;0;2;13;65;2020;Shelter-in-Place;1
 1;0;1;4;1;0; 1;3;0;4;0;1;1;1;1; 7;1;0;1;14;66;2020;Shelter-in-Place;0
 2;1;1;2;1;1; 4;8;0;0;2;1;2;0;1; 2;5;1;1;15;67;2020;Shelter-in-Place;1
 2;0;2;0;0;1; 3;4;0;1;2;1;6;1;1; 4;2;1;2;16;68;2020;Shelter-in-Place;1
 1;1;2;1;0;0; 6;6;1;3;1;0;3;2;0; 5;1;0;1;17;69;2020;Shelter-in-Place;4
